[Header]
TITLE,0p19mg_drhc_EuPd2S4_09152020_0T1T3T5T.dat
BYAPP,HeatCapacity,3.8.14,1.7
INFO,0.20,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
22372465.47,,4881,0,1.1411,-0.044,9.3E-6,1.1528629,0.02441444,1.2378745,0.005947,0.11322309,0.001484,1.3510976,0.005947,0.67890318,7.9749513,0.0018744097,99.693235,0,0,1,,,,1.6986E-7,31.68545,1.3290929,1.0737395,0
22372765.27,,4881,0,1.3102,-0.044,9.2E-6,1.3232565,0.028111284,1.5043813,0.007117,0.1441976,0.002194,1.6485789,0.007117,1.4811985,7.8551535,0.001118057,99.821462,0,0,1,,,,2.1018E-7,31.89981,1.7510078,1.1368781,0
22372856.42,,4881,0,1.31,-0.044,9.4E-6,1.3232962,0.02828577,1.5022723,0.007308,0.14423882,0.002194,1.6465111,0.007308,1.4380332,8.0055845,0.0051644633,99.188494,0,0,1,,,,2.0707E-7,31.42061,1.7511128,1.1352502,0
22372950.16,,4881,0,1.3101,-0.044,9.2E-6,1.3229628,0.028652807,1.5207974,0.006944,0.14416707,0.002194,1.6649644,0.006944,1.0624053,8.2476139,0.0070307875,98.914244,0,0,1,,,,2.0372E-7,32.02234,1.7502306,1.149539,0
22373245.58,,4881,0,1.4798,-0.044,9.2E-6,1.4960592,0.032066954,1.7912459,0.005213,0.1907376,0.001256,1.9819835,0.005213,1.813175,7.8788506,0.0043117484,99.368246,0,0,1,,,,2.5286E-7,32.99046,2.2381932,1.1973095,0
22373337.39,,4881,0,1.4801,-0.044,9.3E-6,1.4963407,0.032168793,1.7582903,0.004413,0.19087208,0.001256,1.9491624,0.004413,1.8826066,7.847281,0.0055131392,99.200648,0,0,1,,,,2.5002E-7,31.5154,2.2390354,1.1750602,0
22373428.17,,4881,0,1.48,-0.044,9.3E-6,1.4960258,0.032004309,1.7635508,0.005086,0.19077048,0.001256,1.9543212,0.005086,1.7547548,7.8029913,0.0040757176,99.40479,0,0,1,,,,2.5168E-7,31.38912,2.2380933,1.1788237,0
22373716.91,,4881,0,1.65,-0.044,9.4E-6,1.667975,0.035941129,1.953515,0.005528,0.24737356,0.001458,2.2008885,0.005528,1.4600304,7.5162821,0.0047042891,99.370346,0,0,1,,,,2.9428E-7,31.21197,2.7821405,1.1711896,0
22373806.38,,4881,0,1.6499,-0.044,9.3E-6,1.66799,0.035675024,1.9635292,0.005276,0.24741832,0.001458,2.2109475,0.005276,1.5154327,7.5633107,0.0040215111,99.463316,0,0,1,,,,2.9357E-7,30.06513,2.7821906,1.1771829,0
22373895.38,,4881,0,1.6498,-0.044,9.4E-6,1.6677181,0.036032896,1.9580697,0.004804,0.24733898,0.001458,2.2054087,0.004804,0.934788,7.6468452,0.0053485938,99.294667,0,0,1,,,,2.9002E-7,30.25324,2.7812838,1.1741011,0
